,MSZoning,Street,LandContour,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,Foundation,Heating,Electrical,GarageType,SaleType,SaleCondition,Age,GarageArea,TotalSF,MasVnrArea,WoodDeckSF,BsmtFinSF1,2ndFlrSF,BsmtFinSF2,MiscVal,LotArea,SalePrice
382,RL,Pave,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,1,639,2736,0.0,144,0,858,0,0,9245,213500
383,RH,Pave,Lvl,AllPub,Corner,SawyerW,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,BrkTil,GasA,FuseA,Detchd,WD,Normal,59,360,1568,0.0,0,0,0,0,0,9000,76000
384,RL,Pave,Low,AllPub,Corner,ClearCr,Feedr,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,PConc,GasA,SBrkr,Attchd,WD,Normal,15,501,3533,0.0,216,985,874,0,0,53107,240000
385,RL,Pave,Lvl,AllPub,Inside,Blmngtn,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,5,430,2525,16.0,146,24,0,0,0,3182,192000
386,RL,Pave,Lvl,AllPub,FR2,Edwards,Feedr,Norm,1Fam,1.5Fin,Gambrel,CompShg,Wd Sdng,VinylSd,PConc,GasA,SBrkr,,WD,AdjLand,10,0,1842,0.0,0,0,526,0,0,8410,81000
387,RL,Pave,Lvl,AllPub,Inside,Edwards,Norm,Norm,1Fam,SLvl,Hip,CompShg,MetalSd,MetalSd,CBlock,GasA,SBrkr,Detchd,WD,Abnorml,33,352,2166,255.0,296,631,0,0,0,7200,125000
388,RL,Pave,Lvl,AllPub,CulDSac,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,8,577,2947,125.0,120,0,0,0,0,9382,191000
389,RL,Pave,Lvl,AllPub,Inside,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,BuiltIn,New,Partial,0,846,4014,272.0,196,1280,590,0,0,12474,426000
390,RL,Pave,Lvl,AllPub,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,BrkTil,GasA,SBrkr,Detchd,WD,Normal,58,384,2228,0.0,0,241,406,391,0,8405,119000
391,RL,Pave,Lvl,AllPub,CulDSac,Mitchel,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,BuiltIn,WD,Normal,7,560,2765,0.0,125,690,1157,0,0,12209,215000
392,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,Slab,GasA,SBrkr,Attchd,WD,Normal,48,294,882,0.0,0,0,0,0,1200,8339,106500
393,RL,Pave,Lvl,AllPub,Corner,BrkSide,Feedr,Norm,1Fam,1Story,Gable,CompShg,WdShing,Wd Shng,CBlock,GasA,FuseA,,WD,Abnorml,56,0,1576,0.0,0,266,0,0,0,7446,100000
394,RL,Pave,Lvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,CBlock,GasA,FuseA,Detchd,WD,Normal,57,240,1769,0.0,0,0,299,0,0,10134,109000
395,RL,Pave,Lvl,AllPub,Inside,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,GasA,SBrkr,Attchd,WD,Normal,54,596,2288,0.0,44,739,0,0,0,9571,129000
396,RL,Pave,Low,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,CBlock,GasA,SBrkr,Detchd,WD,Normal,37,600,1788,0.0,215,777,0,0,0,7200,123000
397,RL,Pave,Lvl,AllPub,Inside,NAmes,PosN,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,CBlock,GasA,SBrkr,Attchd,WD,Normal,45,264,2676,288.0,0,540,936,0,0,7590,169500
398,RM,Pave,Lvl,AllPub,Corner,IDOTRR,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkTil,GasA,Mix,Detchd,WD,Abnorml,57,338,2038,0.0,0,0,0,0,0,8967,67000
399,FV,Pave,Lvl,AllPub,Inside,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,CemntBd,CmentBd,PConc,GasA,SBrkr,Attchd,WD,Normal,2,438,2642,100.0,0,812,438,0,0,8125,241000
400,RL,Pave,Lvl,AllPub,Inside,Veenker,Norm,Norm,TwnhsE,1Story,Gable,CompShg,BrkFace,BrkFace,PConc,GasA,SBrkr,Attchd,WD,Normal,12,500,2548,0.0,120,786,0,0,0,14963,245500
401,RL,Pave,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,New,Partial,1,400,2620,0.0,0,24,0,0,0,8767,164990
402,RL,Pave,Lvl,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,PConc,GasA,SBrkr,Detchd,WD,Normal,11,240,1344,0.0,168,0,0,0,0,10200,108000
403,RL,Pave,Lvl,AllPub,Corner,NoRidge,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,BuiltIn,WD,Abnorml,8,420,3404,650.0,144,0,1098,0,0,12090,258000
404,RL,Pave,Lvl,AllPub,Inside,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,MetalSd,MetalSd,PConc,GasA,SBrkr,BuiltIn,WD,Normal,11,373,2378,0.0,0,0,766,0,0,10364,168000
405,RL,Pave,Lvl,AllPub,Corner,Sawyer,Feedr,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,CBlock,GasA,SBrkr,Attchd,WD,Normal,16,490,2901,0.0,120,1116,0,0,0,9991,150000
406,RL,Pave,Lvl,AllPub,Inside,SWISU,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,BrkTil,GasA,FuseA,Detchd,WD,Normal,58,240,2703,0.0,0,0,0,0,0,10480,115000
407,RL,Pave,Lvl,AllPub,Inside,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Plywood,BrkTil,GasA,SBrkr,Attchd,WD,Normal,32,308,2520,0.0,0,0,840,0,0,15576,177000
408,RL,Pave,Lvl,AllPub,Corner,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,New,Partial,1,947,3235,350.0,192,0,1101,0,0,14154,280000
409,FV,Pave,Lvl,AllPub,Inside,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,New,Partial,0,836,3112,100.0,0,789,1028,0,0,10800,339750
410,RL,Pave,Lvl,AllPub,Inside,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkComm,Brk Cmn,CBlock,GasA,FuseA,Attchd,COD,Abnorml,51,350,2552,0.0,0,0,0,0,0,9571,60000
411,RL,Pave,Bnk,AllPub,Inside,Gilbert,Norm,Norm,2fmCon,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,CBlock,GasA,SBrkr,Attchd,WD,Normal,51,572,2112,0.0,264,1056,0,0,0,34650,145000
412,FV,Pave,Lvl,AllPub,Inside,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,PConc,GasA,SBrkr,Attchd,New,Partial,1,484,2948,432.0,0,578,0,0,0,4403,222000
413,RM,Pave,Lvl,AllPub,Inside,OldTown,Artery,Norm,1Fam,1Story,Gable,CompShg,WdShing,Wd Shng,CBlock,GasA,FuseA,Detchd,WD,Normal,60,360,2036,0.0,0,0,0,0,0,8960,115000
414,RL,Pave,Lvl,AllPub,CulDSac,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,15,678,3177,0.0,196,50,1017,531,0,11228,228000
415,RL,Pave,Lvl,AllPub,Inside,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,New,Partial,0,396,2680,0.0,100,24,0,0,0,8899,181134
416,RL,Pave,Lvl,AllPub,Inside,Sawyer,Norm,Norm,1Fam,2Story,Hip,CompShg,HdBoard,HdBoard,CBlock,GasA,SBrkr,Attchd,WD,Normal,28,440,2072,203.0,0,209,728,0,0,7844,149500
417,RL,Pave,Lvl,AllPub,Inside,Crawfor,Feedr,Norm,1Fam,2Story,Hip,CompShg,Wd Sdng,Stucco,BrkTil,GasW,FuseA,Detchd,WD,Normal,57,864,3994,0.0,0,1128,1254,0,0,22420,239000
418,RL,Pave,Lvl,AllPub,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,BrkTil,GasA,FuseF,Detchd,WD,AdjLand,57,240,1890,0.0,0,312,378,0,0,8160,126000
419,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,CBlock,GasA,SBrkr,Attchd,WD,Normal,42,304,2112,0.0,0,775,0,0,0,8450,142000
420,RM,Pave,Lvl,AllPub,Inside,Mitchel,Norm,Norm,Duplex,SFoyer,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Alloca,10,784,2688,200.0,0,1309,0,0,0,7060,206300
421,RL,Pave,Lvl,AllPub,FR2,NWAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,CemntBd,CmentBd,CBlock,GasA,SBrkr,Attchd,WD,Normal,9,529,3204,126.0,240,1246,0,0,0,16635,215000
422,RL,Pave,HLS,AllPub,Inside,Mitchel,Artery,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,CBlock,GasA,FuseA,Attchd,WD,Normal,54,520,1976,0.0,0,0,0,0,0,21750,113000
423,RL,Pave,Lvl,AllPub,Inside,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,10,696,4100,473.0,0,986,1160,0,0,9200,315000
424,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,GasA,FuseA,Attchd,WD,Normal,52,297,2392,74.0,0,616,0,0,0,9000,139000
425,RM,Pave,HLS,AllPub,Inside,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,CBlock,GasA,SBrkr,Detchd,WD,Normal,17,240,2040,0.0,0,0,682,0,0,3378,135000
426,RL,Pave,Low,AllPub,Inside,SawyerW,Norm,Norm,1Fam,SLvl,Gable,CompShg,Wd Sdng,Wd Sdng,PConc,GasA,SBrkr,Attchd,WD,Normal,20,569,3162,145.0,80,1518,0,0,0,12800,275000
427,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,CBlock,GasA,SBrkr,Detchd,WD,Normal,51,352,1814,0.0,0,288,0,0,0,8593,109008
428,RL,Pave,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,New,Partial,0,628,2416,108.0,105,664,0,0,0,6762,195400
429,RL,Pave,Lvl,AllPub,Corner,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,CBlock,GasA,SBrkr,Attchd,WD,Normal,21,576,2804,0.0,0,1005,0,0,0,11457,175000
430,RM,Pave,Lvl,AllPub,Inside,BrDale,Norm,Norm,Twnhs,2Story,Gable,CompShg,HdBoard,HdBoard,CBlock,GasA,SBrkr,Detchd,COD,Abnorml,37,264,1470,232.0,0,387,504,0,0,1680,85400
431,RM,Pave,Bnk,AllPub,Inside,OldTown,Feedr,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,BrkTil,GasA,SBrkr,,ConLD,Abnorml,10,0,2099,0.0,0,0,110,0,0,5586,79900
432,RM,Pave,Lvl,AllPub,Inside,BrDale,Norm,Norm,TwnhsE,2Story,Gable,CompShg,HdBoard,HdBoard,CBlock,GasA,SBrkr,Detchd,WD,Normal,36,440,2130,376.0,240,471,600,0,0,1920,122500
433,RL,Pave,Lvl,AllPub,Corner,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,10,470,2530,0.0,0,0,678,0,0,10839,181000
434,RM,Pave,Lvl,AllPub,Inside,MeadowV,Norm,Norm,Twnhs,SFoyer,Gable,CompShg,CemntBd,CmentBd,CBlock,GasA,SBrkr,,WD,Normal,36,0,1260,0.0,88,495,0,0,0,1890,81000
435,RL,Pave,Lvl,AllPub,CulDSac,CollgCr,PosN,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,ConLw,Normal,13,550,2460,0.0,158,385,834,344,0,10667,212000
436,RM,Pave,Lvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Stucco,Stucco,BrkTil,GasA,FuseA,Detchd,WD,Normal,56,440,1766,0.0,0,0,384,0,0,4400,116000
437,RM,Pave,Lvl,AllPub,Inside,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,PConc,GasA,SBrkr,Detchd,WD,Normal,5,180,1788,0.0,0,0,0,0,0,6000,119000
438,RL,Pave,Lvl,AllPub,Inside,Crawfor,Norm,Norm,1Fam,1Story,Gable,CompShg,WdShing,Stucco,PConc,GasA,SBrkr,Detchd,WD,Normal,5,352,1134,0.0,0,365,0,0,0,4280,90350
439,RL,Pave,Lvl,AllPub,Corner,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,BrkTil,GasA,SBrkr,Detchd,ConLI,Normal,9,528,1880,0.0,0,0,512,0,800,12354,110000
440,RL,Pave,Lvl,AllPub,Inside,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,1,672,5496,200.0,0,1767,0,539,0,15431,555000
441,RL,Pave,Lvl,AllPub,Inside,Edwards,Norm,Norm,Duplex,1Story,Gable,CompShg,VinylSd,VinylSd,CBlock,GasA,FuseF,,WD,Normal,53,0,2880,270.0,0,133,0,0,0,12108,118000
442,RM,Pave,Lvl,AllPub,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,PConc,GasA,SBrkr,Detchd,WD,Normal,16,360,2651,0.0,0,0,445,0,0,6240,162900
443,RL,Pave,Lvl,AllPub,Inside,Blmngtn,Norm,Norm,TwnhsE,1Story,Gable,CompShg,WdShing,Wd Shng,PConc,GasA,SBrkr,Attchd,New,Partial,0,648,2516,72.0,144,0,0,0,0,3922,172500
444,RL,Pave,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,13,493,2823,0.0,144,642,975,0,0,8750,210000
445,RL,Pave,Lvl,AllPub,Corner,Edwards,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,CBlock,GasA,SBrkr,Attchd,COD,Normal,53,480,3125,0.0,0,0,0,0,0,9855,127500
446,RL,Pave,Lvl,AllPub,Corner,NAmes,PosA,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Plywood,CBlock,GasA,SBrkr,Attchd,WD,Normal,8,578,3405,0.0,0,247,0,713,0,16492,190000
447,RL,Pave,Lvl,AllPub,Corner,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,7,431,2816,0.0,89,0,930,0,0,11214,199900
448,RM,Pave,Bnk,AllPub,Inside,IDOTRR,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,BrkTil,GasA,SBrkr,Detchd,WD,Normal,56,198,2156,0.0,0,0,596,0,0,8600,119500
449,RM,Pave,Lvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,CBlock,GasA,SBrkr,Detchd,WD,Normal,5,308,1832,0.0,0,331,504,0,0,6000,120000
450,RM,Pave,Lvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkTil,GasA,FuseA,Detchd,WD,Normal,1,270,1626,0.0,0,0,0,0,0,5684,110000
451,RL,Pave,Low,AllPub,Inside,ClearCr,Norm,Norm,1Fam,1Story,Gable,WdShngl,Plywood,Plywood,CBlock,GasA,SBrkr,Attchd,WD,Normal,31,576,3066,0.0,200,655,0,0,0,70761,280000
452,RL,Pave,Lvl,AllPub,Corner,Timber,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,10,422,2628,42.0,144,742,868,0,0,9303,204000
453,FV,Pave,Lvl,AllPub,Inside,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,1,676,2358,0.0,0,0,804,0,0,9000,210000
454,RL,Pave,Lvl,AllPub,Inside,Mitchel,Norm,Norm,Duplex,1Story,Gable,CompShg,Plywood,Plywood,CBlock,GasA,SBrkr,Detchd,WD,Family,30,560,3456,0.0,0,1606,0,0,0,9297,188000
455,RL,Pave,Lvl,AllPub,Inside,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,CBlock,GasA,SBrkr,Attchd,WD,Normal,34,528,2484,320.0,0,916,0,0,0,9600,175500
456,RM,Pave,Lvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,AsbShng,AsbShng,BrkTil,GasA,SBrkr,Detchd,COD,Abnorml,58,513,1968,0.0,0,0,720,0,0,4571,98000
457,RL,Pave,Low,AllPub,CulDSac,ClearCr,Norm,Norm,1Fam,1Story,Flat,Tar&Grv,Plywood,Plywood,CBlock,GasA,SBrkr,Attchd,WD,Normal,14,529,3027,0.0,224,1116,0,0,0,53227,256000
458,RM,Pave,Lvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,2Story,Hip,CompShg,Stucco,Wd Shng,PConc,GasA,SBrkr,Detchd,WD,Normal,12,228,2254,0.0,192,0,833,0,0,5100,161000
459,RL,Pave,Bnk,AllPub,Corner,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,CBlock,GasA,SBrkr,Detchd,WD,Normal,59,352,1912,161.0,0,185,224,0,0,7015,110000
460,FV,Pave,Lvl,AllPub,Inside,Somerst,RRAn,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,BuiltIn,New,Partial,0,552,2767,110.0,0,544,1103,0,0,8004,263435
461,RL,Pave,Lvl,AllPub,Inside,SWISU,Feedr,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,PConc,GasA,SBrkr,Detchd,WD,Normal,2,576,1695,0.0,256,350,560,210,0,7200,155000
462,RL,Pave,Lvl,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,CBlock,GasA,SBrkr,Detchd,WD,Normal,44,360,1728,0.0,0,553,0,311,0,8281,62383
463,RL,Pave,HLS,AllPub,Inside,Crawfor,Norm,Norm,1Fam,2Story,Hip,CompShg,Stucco,Stucco,CBlock,GasA,FuseA,Detchd,WD,Normal,13,240,2375,0.0,0,326,811,0,0,11988,188700
464,RL,Pave,HLS,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,CBlock,GasA,SBrkr,,WD,Normal,31,0,2080,136.0,0,616,0,0,0,8430,124000
465,RM,Pave,Lvl,AllPub,Inside,Blmngtn,Norm,Norm,TwnhsE,1Story,Hip,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,2,398,2789,18.0,144,0,0,0,0,3072,178740
466,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Flat,Tar&Grv,Plywood,Plywood,CBlock,GasA,SBrkr,Attchd,WD,Normal,37,526,2554,0.0,0,778,0,0,0,10628,167000
467,RL,Pave,Lvl,AllPub,Inside,NAmes,Artery,Norm,1Fam,2Story,Gable,CompShg,MetalSd,MetalSd,CBlock,GasA,SBrkr,Attchd,WD,Normal,12,312,2372,224.0,168,386,756,0,0,9480,146500
468,RL,Pave,Lvl,AllPub,Inside,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,1,866,3260,248.0,0,0,0,0,0,11428,250000
469,RL,Pave,Lvl,AllPub,Corner,SawyerW,RRNe,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,PConc,GasA,SBrkr,Attchd,WD,Normal,15,506,2542,120.0,144,426,878,0,0,9291,187000
470,RL,Pave,Lvl,AllPub,Corner,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,HdBoard,HdBoard,PConc,GasA,SBrkr,Attchd,WD,Normal,25,528,2990,0.0,0,368,0,1120,0,6820,212000
471,RL,Pave,Lvl,AllPub,Inside,NWAmes,PosA,Norm,1Fam,2Story,Mansard,WdShake,WdShing,Plywood,CBlock,GasA,SBrkr,Attchd,WD,Normal,30,534,2777,0.0,0,0,808,0,0,11952,190000
472,RM,Pave,Lvl,AllPub,Inside,Edwards,Norm,Norm,TwnhsE,SLvl,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Basment,WD,Normal,3,525,1619,80.0,0,459,0,0,0,3675,148000
473,RL,Pave,Lvl,AllPub,Inside,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,New,Partial,0,908,3952,304.0,250,1350,0,0,0,14977,440000
474,RL,Pave,Lvl,AllPub,Inside,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,PConc,GasA,SBrkr,Attchd,WD,Normal,7,499,3146,0.0,96,1196,0,0,0,5330,251000
475,RL,Pave,Lvl,AllPub,Corner,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,CBlock,GasA,SBrkr,Detchd,WD,Normal,44,624,1940,0.0,0,630,0,0,0,8480,132500
476,RL,Pave,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,10,508,2971,215.0,140,994,0,0,0,13125,208900
477,RL,Pave,Lvl,AllPub,Inside,NridgHt,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,BuiltIn,WD,Normal,1,694,4796,772.0,414,0,574,0,0,13693,380000
478,RL,Pave,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,1,826,3423,336.0,208,1288,0,0,0,10637,297000
479,RM,Pave,Bnk,AllPub,Inside,OldTown,Norm,Norm,1Fam,1Story,Hip,CompShg,Stucco,Stucco,BrkTil,GasA,SBrkr,Detchd,WD,Alloca,7,672,2038,435.0,0,168,0,0,0,5925,89471
480,RL,Pave,Lvl,AllPub,FR2,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,1,772,3683,378.0,519,1261,0,0,0,16033,326000
481,RL,Pave,HLS,AllPub,Inside,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,2,874,3584,562.0,206,1567,0,0,0,11846,374000
482,RM,Pave,Lvl,AllPub,Corner,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,Stucco,Stucco,PConc,GasA,SBrkr,Attchd,WD,Normal,4,164,2736,0.0,0,299,910,0,0,2500,155000
483,RM,Pave,Lvl,AllPub,FR2,Mitchel,Norm,Norm,Twnhs,1Story,Hip,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,8,402,2432,116.0,0,897,0,0,0,4500,164000
484,RL,Pave,Lvl,AllPub,Corner,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,Plywood,CBlock,GasA,SBrkr,Detchd,WD,Normal,6,264,1998,0.0,0,588,0,0,0,7758,132500
485,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,CBlock,GasA,SBrkr,Attchd,WD,Normal,2,264,2226,0.0,0,607,0,0,0,9600,147000
486,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,CBlock,GasA,SBrkr,Attchd,WD,Normal,42,515,2146,168.0,0,836,0,0,0,10289,156000
487,RL,Pave,Lvl,AllPub,Inside,NWAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,CBlock,GasA,SBrkr,Attchd,WD,Normal,36,487,2968,0.0,224,998,0,0,0,12243,175000
488,RL,Pave,Lvl,AllPub,Corner,OldTown,Norm,Norm,2fmCon,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,GasA,FuseA,Attchd,ConLD,Normal,36,520,3368,0.0,142,664,648,0,0,10800,160000
489,RM,Pave,Lvl,AllPub,Inside,MeadowV,Norm,Norm,Twnhs,SFoyer,Gable,CompShg,CemntBd,CmentBd,CBlock,GasA,SBrkr,Attchd,WD,Normal,7,286,1260,0.0,0,515,0,0,0,1526,86000
490,RM,Pave,Lvl,AllPub,Inside,MeadowV,Norm,Norm,TwnhsE,2Story,Gable,CompShg,CemntBd,CmentBd,PConc,GasA,SBrkr,BuiltIn,WD,Normal,32,336,1568,0.0,141,0,688,0,0,2665,115000
491,RL,Pave,Lvl,AllPub,Inside,NAmes,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,GasA,FuseA,Attchd,WD,Normal,56,240,2384,0.0,0,403,620,165,0,9490,133000
492,RL,Pave,Lvl,AllPub,Corner,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,New,Partial,0,429,2184,0.0,0,0,728,0,0,15578,172785
493,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,CBlock,GasA,FuseA,Detchd,WD,Normal,48,308,2538,0.0,0,374,0,532,0,7931,155000
494,RM,Pave,Lvl,AllPub,Inside,OldTown,Artery,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkTil,GasA,FuseA,Attchd,WD,Normal,13,273,1076,0.0,144,0,0,0,0,5784,91300
