,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalPorchSF,TotalBath,SnMoSold,CsMoSold,Scaled_OverallQal,Scaled_SalePrice
434,435,180,RM,21.0,1890,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SFoyer,4,7,1972,1972,Gable,CompShg,CemntBd,CmentBd,,0.0,TA,Gd,CBlock,Gd,TA,Av,ALQ,495,Unf,0,135,GasA,Gd,Y,SBrkr,630,0,0,1,1,TA,3,Typ,0,,,,,0,0,,,Y,88,0,,,,0,2008,WD,Normal,81000,1260,0,2.0,1.2246467991473532e-16,-1.0,-1.526837126882538,-1.25875758461045
435,436,60,RL,43.0,10667,Pave,,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,PosN,Norm,1Fam,2Story,7,6,1996,1996,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,385,ALQ,344,70,GasA,Ex,Y,SBrkr,827,834,0,3,1,Gd,6,Typ,1,TA,Attchd,1996.0,RFn,2,550,TA,TA,Y,158,0,,,,0,2009,ConLw,Normal,212000,2460,61,3.5,0.8660254037844387,-0.4999999999999998,0.6582920727378816,0.39313656947578
436,437,50,RM,40.0,4400,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,8,1920,1950,Gable,CompShg,Stucco,Stucco,,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,0,648,GasA,TA,Y,FuseA,734,384,0,2,1,TA,6,Typ,0,,Detchd,1990.0,Unf,2,440,TA,TA,Y,0,0,,,,0,2006,WD,Normal,116000,1766,0,1.0,-0.8660254037844386,0.5000000000000001,-0.07008432713559168,-0.8174118182515335
437,438,45,RM,50.0,6000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,1926,2004,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,Gd,TA,PConc,TA,TA,No,Unf,0,Unf,0,884,GasA,Gd,Y,SBrkr,904,0,0,2,1,TA,4,Typ,0,,Detchd,1926.0,Unf,1,180,TA,TA,Y,0,0,,,,0,2009,WD,Normal,119000,1788,105,1.0,0.5,0.8660254037844387,-0.07008432713559168,-0.779582181135055
438,439,30,RL,40.0,4280,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,6,1913,2002,Gable,CompShg,WdShing,Stucco,,0.0,TA,TA,PConc,TA,TA,No,LwQ,365,Unf,0,75,GasA,TA,N,SBrkr,694,0,0,2,1,Gd,4,Typ,1,Gd,Detchd,1990.0,Unf,1,352,Gd,TA,P,0,0,,MnPrv,,0,2007,WD,Normal,90350,1134,34,1.0,1.0,6.123233995736766e-17,-0.7984607270090649,-1.1408552155974252
439,440,50,RL,67.0,12354,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,8,1920,2000,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,TA,Fa,Mn,Unf,0,Unf,0,684,GasA,Gd,Y,SBrkr,684,512,0,3,1,Gd,7,Typ,0,,Detchd,2005.0,Unf,2,528,TA,TA,Y,0,0,,GdPrv,Shed,800,2009,ConLI,Normal,110000,1880,46,1.0,-0.8660254037844384,-0.5000000000000004,-0.07008432713559168,-0.8930710924844907
440,441,20,RL,105.0,15431,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,200.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1767,ALQ,539,788,GasA,Ex,Y,SBrkr,2402,0,0,2,1,Ex,10,Typ,2,Gd,Attchd,2008.0,Fin,3,672,TA,TA,Y,0,0,,,,0,2009,WD,Normal,555000,5496,242,3.0,0.8660254037844387,-0.4999999999999998,2.8434212723583014,4.718325079793161
441,442,90,RL,92.0,12108,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,4,1955,1955,Gable,CompShg,VinylSd,VinylSd,BrkFace,270.0,TA,TA,CBlock,TA,TA,No,ALQ,133,Unf,0,1307,GasA,TA,N,FuseF,1440,0,0,4,2,Fa,8,Typ,0,,,,,0,0,,,Y,0,0,,,,0,2008,WD,Normal,118000,2880,0,2.0,-1.0,-1.8369701987210292e-16,-1.526837126882538,-0.7921920601738812
442,443,50,RM,52.0,6240,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,7,1930,1992,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,1078,GasA,TA,Y,SBrkr,1128,445,0,3,1,TA,8,Typ,1,Gd,Detchd,1930.0,Unf,2,360,TA,TA,P,0,0,,,,0,2008,WD,Normal,162900,2651,0,2.0,1.2246467991473532e-16,-1.0,-0.7984607270090649,-0.22600849133058556
443,444,120,RL,53.0,3922,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2007,Gable,CompShg,WdShing,Wd Shng,BrkFace,72.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1258,GasA,Ex,Y,SBrkr,1258,0,0,2,1,Gd,6,Typ,1,Gd,Attchd,2007.0,Fin,3,648,TA,TA,Y,144,0,,,,0,2007,New,Partial,172500,2516,16,2.0,1.2246467991473532e-16,-1.0,0.6582920727378816,-0.10495365255785419
444,445,60,RL,70.0,8750,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,Gd,PConc,Gd,TA,No,GLQ,642,Unf,0,273,GasA,Ex,Y,SBrkr,933,975,0,4,1,Gd,8,Typ,1,TA,Attchd,1994.0,Unf,2,493,TA,TA,Y,144,0,,,,0,2008,WD,Normal,210000,2823,133,3.5,-0.4999999999999997,-0.8660254037844388,0.6582920727378816,0.36791681139812765
445,446,20,RL,73.0,9855,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,5,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1436,GasA,Fa,Y,SBrkr,1689,0,0,3,1,TA,7,Typ,1,Gd,Attchd,1956.0,Unf,2,480,TA,TA,Y,0,0,,MnPrv,,0,2009,COD,Normal,127500,3125,0,1.0,-0.5000000000000004,0.8660254037844384,-0.07008432713559168,-0.6723982093050325
446,447,20,RL,137.0,16492,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,247,Rec,713,557,GasA,Ex,Y,SBrkr,1888,0,0,2,1,Gd,6,Mod,1,Gd,Attchd,1966.0,Fin,2,578,TA,TA,Y,0,0,,,,0,2010,WD,Normal,190000,3405,0,2.5,1.2246467991473532e-16,-1.0,-0.07008432713559168,0.11571923062160401
447,448,60,RL,,11214,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,930,GasA,Gd,Y,SBrkr,956,930,0,4,1,Gd,10,Typ,1,TA,Attchd,1998.0,Fin,2,431,TA,TA,Y,89,0,,,,0,2006,WD,Normal,199900,2816,0,2.5,-0.4999999999999997,-0.8660254037844388,0.6582920727378816,0.24055703310598323
448,449,50,RM,50.0,8600,Pave,,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1937,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,780,GasA,TA,Y,SBrkr,780,596,0,3,1,TA,7,Typ,1,Gd,Detchd,1937.0,Unf,1,198,TA,TA,N,0,0,,,,0,2006,WD,Normal,119500,2156,0,2.0,1.2246467991473532e-16,-1.0,-0.07008432713559168,-0.7732772416156419
449,450,50,RM,50.0,6000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,3,7,1948,2002,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,331,Unf,0,318,GasA,Ex,Y,SBrkr,679,504,0,2,1,TA,6,Typ,0,,Detchd,1981.0,Unf,1,308,TA,TA,Y,0,0,,,,0,2007,WD,Normal,120000,1832,176,1.5,1.2246467991473532e-16,-1.0,-2.255213526756011,-0.7669723020962288
450,451,30,RM,70.0,5684,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,8,1930,2005,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,813,GasA,Ex,Y,FuseA,813,0,0,2,1,Gd,5,Typ,0,,Detchd,1932.0,Unf,1,270,Fa,Fa,N,0,0,,,,0,2006,WD,Normal,110000,1626,113,1.0,1.2246467991473532e-16,-1.0,-0.07008432713559168,-0.8930710924844907
451,452,20,RL,62.0,70761,Pave,,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,5,1975,1975,Gable,WdShngl,Plywood,Plywood,,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,655,Unf,0,878,GasA,TA,Y,SBrkr,1533,0,0,2,1,Gd,5,Typ,2,TA,Attchd,1975.0,Unf,2,576,TA,TA,Y,200,0,,,,0,2006,WD,Normal,280000,3066,54,3.0,-2.4492935982947064e-16,1.0,0.6582920727378816,1.2506083441159606
452,453,60,RL,,9303,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,6,5,1996,1997,Hip,CompShg,VinylSd,VinylSd,BrkFace,42.0,Gd,TA,PConc,Ex,TA,No,ALQ,742,Unf,0,130,GasA,Ex,Y,SBrkr,888,868,0,3,1,TA,7,Typ,0,,Attchd,1996.0,Fin,2,422,TA,TA,Y,144,0,,,,0,2007,WD,Normal,204000,2628,122,3.5,-0.4999999999999997,-0.8660254037844388,-0.07008432713559168,0.29225753716517056
453,454,60,FV,75.0,9000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,768,GasA,Ex,Y,SBrkr,786,804,0,3,1,Gd,6,Typ,0,,Attchd,2008.0,RFn,2,676,TA,TA,Y,0,0,,,,0,2009,WD,Normal,210000,2358,30,2.5,1.2246467991473532e-16,-1.0,1.3866684726113547,0.36791681139812765
454,455,90,RL,63.0,9297,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1Story,5,5,1976,1976,Gable,CompShg,Plywood,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,1606,Unf,0,122,GasA,TA,Y,SBrkr,1728,0,0,4,2,TA,8,Typ,0,,Detchd,1976.0,Unf,2,560,TA,TA,Y,0,0,,,,0,2006,WD,Family,188000,3456,0,4.0,-0.4999999999999997,-0.8660254037844388,-0.7984607270090649,0.09049947254395165
455,456,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,ALQ,916,Unf,0,326,GasA,Fa,Y,SBrkr,1242,0,0,3,1,TA,6,Typ,1,TA,Attchd,1973.0,Unf,2,528,TA,TA,Y,0,0,,,,0,2007,WD,Normal,175500,2484,0,1.5,-1.0,-1.8369701987210292e-16,0.6582920727378816,-0.06712401544137564
456,457,70,RM,34.0,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,624,GasA,Fa,N,SBrkr,624,720,0,4,1,TA,7,Typ,0,,Detchd,1916.0,Unf,3,513,Fa,Fa,Y,0,0,,,,0,2008,COD,Abnorml,98000,1968,96,1.0,0.5,-0.8660254037844387,-0.7984607270090649,-1.0443896409504048
457,458,20,RL,,53227,Pave,,IR1,Low,AllPub,CulDSac,Mod,ClearCr,Norm,Norm,1Fam,1Story,4,6,1954,1994,Flat,Tar&Grv,Plywood,Plywood,,0.0,TA,TA,CBlock,Gd,TA,Gd,BLQ,1116,Unf,0,248,GasA,Ex,Y,SBrkr,1663,0,0,2,1,Gd,6,Min1,2,Gd,Attchd,1954.0,Fin,2,529,TA,TA,Y,224,0,,,,0,2008,WD,Normal,256000,3027,137,2.0,1.0,6.123233995736766e-17,-1.526837126882538,0.9479712471841321
458,459,70,RM,,5100,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,7,1925,1996,Hip,CompShg,Stucco,Wd Shng,,0.0,TA,Gd,PConc,TA,TA,No,Unf,0,Unf,0,588,GasA,Fa,Y,SBrkr,833,833,0,3,1,Gd,7,Typ,1,Gd,Detchd,1925.0,Unf,1,228,TA,TA,Y,192,0,,MnPrv,,0,2008,WD,Normal,161000,2254,63,1.0,1.2246467991473532e-16,-1.0,1.3866684726113547,-0.2499672615043553
459,460,50,RL,,7015,Pave,,IR1,Bnk,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,4,1950,1950,Gable,CompShg,MetalSd,MetalSd,BrkCmn,161.0,TA,TA,CBlock,TA,TA,No,LwQ,185,Unf,0,524,GasA,TA,Y,SBrkr,979,224,0,3,1,Gd,5,Typ,1,TA,Detchd,1950.0,Unf,1,352,TA,TA,Y,0,0,,,,0,2009,WD,Normal,110000,1912,248,2.0,-0.4999999999999997,-0.8660254037844388,-0.7984607270090649,-0.8930710924844907
460,461,60,FV,75.0,8004,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Somerst,RRAn,Norm,1Fam,2Story,8,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,Stone,110.0,Gd,TA,PConc,Gd,TA,No,GLQ,544,Unf,0,288,GasA,Ex,Y,SBrkr,832,1103,0,3,1,TA,8,Typ,0,,BuiltIn,2009.0,Fin,2,552,TA,TA,Y,0,0,,,,0,2009,New,Partial,263435,2767,150,3.5,-2.4492935982947064e-16,1.0,1.3866684726113547,1.0417256978378049
461,462,70,RL,60.0,7200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,2Story,7,9,1936,2007,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,Gd,Gd,PConc,Gd,Gd,No,ALQ,350,BLQ,210,0,GasA,Ex,Y,SBrkr,575,560,0,3,1,Gd,6,Typ,0,,Detchd,1971.0,RFn,2,576,TA,TA,Y,256,0,,MnPrv,,0,2009,WD,Normal,155000,1695,0,2.0,0.8660254037844387,-0.4999999999999998,0.6582920727378816,-0.32562653573731243
462,463,20,RL,60.0,8281,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,No,Rec,553,BLQ,311,0,GasA,Gd,Y,SBrkr,864,0,0,3,1,TA,5,Typ,1,Po,Detchd,1965.0,Unf,1,360,TA,TA,Y,0,0,,GdWo,,0,2009,WD,Normal,62383,1728,236,1.0,-2.4492935982947064e-16,1.0,-0.7984607270090649,-1.493515702676277
463,464,70,RL,74.0,11988,Pave,,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,6,7,1934,1995,Hip,CompShg,Stucco,Stucco,,0.0,TA,TA,CBlock,TA,TA,No,LwQ,326,Unf,0,389,GasA,Fa,Y,FuseA,849,811,0,3,1,TA,6,Typ,1,Gd,Detchd,1939.0,Unf,1,240,TA,TA,Y,0,0,,,,0,2008,WD,Normal,188700,2375,0,1.5,-0.8660254037844384,-0.5000000000000004,-0.07008432713559168,0.09932638787112998
464,465,20,RL,60.0,8430,Pave,,Reg,HLS,AllPub,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,5,1978,1978,Gable,CompShg,HdBoard,HdBoard,BrkFace,136.0,TA,TA,CBlock,Gd,TA,No,Rec,616,Unf,0,424,GasA,TA,Y,SBrkr,1040,0,0,3,1,TA,5,Typ,0,,,,,0,0,,,Y,0,0,,,,0,2009,WD,Normal,124000,2080,0,2.0,-0.8660254037844384,-0.5000000000000004,-0.7984607270090649,-0.7165327859409241
465,466,120,RM,,3072,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2004,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,18.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1375,GasA,Ex,Y,SBrkr,1414,0,0,2,1,Gd,6,Typ,1,TA,Attchd,2004.0,Fin,2,398,TA,TA,Y,144,0,,,,0,2006,WD,Normal,178740,2789,20,2.0,0.5,-0.8660254037844387,0.6582920727378816,-0.026268007355578812
466,467,20,RL,85.0,10628,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1970,1970,Flat,Tar&Grv,Plywood,Plywood,,0.0,TA,Gd,CBlock,TA,Gd,Gd,GLQ,778,Unf,0,499,GasA,TA,Y,SBrkr,1277,0,0,2,1,TA,5,Typ,1,Po,Attchd,1970.0,Unf,2,526,TA,TA,Y,0,0,,GdWo,,0,2007,WD,Normal,167000,2554,176,2.0,0.8660254037844387,-0.4999999999999998,0.6582920727378816,-0.1743079872713982
467,468,70,RL,79.0,9480,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,2Story,5,7,1942,1995,Gable,CompShg,MetalSd,MetalSd,Stone,224.0,TA,TA,CBlock,TA,TA,No,LwQ,386,Unf,0,342,GasA,Ex,Y,SBrkr,888,756,0,3,1,Gd,7,Typ,2,Gd,Attchd,1942.0,Unf,1,312,TA,TA,Y,168,0,,,,0,2007,WD,Normal,146500,2372,0,1.5,1.2246467991473532e-16,-1.0,-0.7984607270090649,-0.43281050756733497
468,469,20,RL,98.0,11428,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,248.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1626,GasA,Ex,Y,SBrkr,1634,0,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,866,TA,TA,Y,0,0,,,,0,2007,WD,Normal,250000,3260,44,2.0,0.5,-0.8660254037844387,1.3866684726113547,0.872311972951175
469,470,60,RL,76.0,9291,Pave,,IR1,Lvl,AllPub,Corner,Gtl,SawyerW,RRNe,Norm,1Fam,2Story,6,5,1993,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,Gd,TA,PConc,Gd,TA,No,GLQ,426,Unf,0,406,GasA,Ex,Y,SBrkr,832,878,0,3,1,Gd,7,Typ,0,,Attchd,1993.0,RFn,2,506,TA,TA,Y,144,0,,,,0,2008,WD,Normal,187000,2542,70,2.5,1.2246467991473532e-16,-1.0,-0.07008432713559168,0.07788959350512546
470,471,120,RL,,6820,Pave,,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,368,BLQ,1120,0,GasA,TA,Y,SBrkr,1502,0,0,1,1,Gd,4,Typ,0,,Attchd,1985.0,RFn,2,528,TA,TA,Y,0,0,,,,0,2010,WD,Normal,212000,2990,194,2.5,1.2246467991473532e-16,-1.0,1.3866684726113547,0.39313656947578
471,472,60,RL,92.0,11952,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosA,Norm,1Fam,2Story,7,6,1977,1977,Mansard,WdShake,WdShing,Plywood,,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0,Unf,0,808,GasA,TA,Y,SBrkr,1161,808,0,3,1,TA,8,Typ,1,Gd,Attchd,1977.0,RFn,2,534,TA,TA,Y,0,0,,,,0,2007,WD,Normal,190000,2777,276,2.5,-0.5000000000000004,0.8660254037844384,0.6582920727378816,0.11571923062160401
472,473,180,RM,35.0,3675,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SLvl,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,TA,TA,PConc,Gd,TA,Gd,GLQ,459,Unf,0,88,GasA,Ex,Y,SBrkr,1072,0,0,2,1,TA,5,Typ,0,,Basment,2005.0,RFn,2,525,TA,TA,Y,0,0,,,,0,2008,WD,Normal,148000,1619,28,2.0,1.2246467991473532e-16,-1.0,-0.07008432713559168,-0.4138956890090957
473,474,20,RL,110.0,14977,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,304.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1350,Unf,0,626,GasA,Ex,Y,SBrkr,1976,0,0,2,1,Gd,7,Typ,1,Ex,Attchd,2006.0,RFn,3,908,TA,TA,Y,250,0,,,,0,2007,New,Partial,440000,3952,63,3.0,-0.4999999999999997,-0.8660254037844388,1.3866684726113547,3.26818899032815
474,475,120,RL,41.0,5330,Pave,,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1196,Unf,0,298,GasA,Ex,Y,SBrkr,1652,0,0,2,1,Ex,6,Typ,0,,Attchd,2000.0,RFn,2,499,TA,TA,Y,96,0,,,,0,2007,WD,Normal,251000,3146,48,3.0,-0.8660254037844384,-0.5000000000000004,1.3866684726113547,0.8849218519900012
475,476,20,RL,80.0,8480,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1963,1963,Hip,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,GLQ,630,Unf,0,340,GasA,TA,Y,SBrkr,970,0,0,2,1,TA,5,Typ,0,,Detchd,1996.0,Unf,2,624,TA,TA,Y,0,0,,,,0,2007,WD,Normal,132500,1940,216,2.0,-0.4999999999999997,-0.8660254037844388,-0.7984607270090649,-0.6093488141109015
476,477,20,RL,75.0,13125,Pave,,Reg,Lvl,AllPub,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,6,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,215.0,TA,TA,PConc,Gd,TA,Gd,GLQ,994,Unf,0,484,GasA,Ex,Y,SBrkr,1493,0,0,3,1,Gd,7,Typ,1,TA,Attchd,1997.0,Fin,2,508,TA,TA,Y,140,0,,,,0,2008,WD,Normal,208900,2971,39,3.0,0.8660254037844387,-0.4999999999999998,-0.07008432713559168,0.35404594445541887
477,478,60,RL,105.0,13693,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,772.0,Ex,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,2153,GasA,Ex,Y,SBrkr,2069,574,0,3,1,Ex,9,Typ,1,Gd,BuiltIn,2006.0,Fin,3,694,TA,TA,Y,414,0,,,,0,2007,WD,Normal,380000,4796,84,2.5,1.0,6.123233995736766e-17,2.115044872484828,2.511596247998579
478,479,20,RL,79.0,10637,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1288,Unf,0,417,GasA,Ex,Y,SBrkr,1718,0,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,826,TA,TA,Y,208,0,,,,0,2009,WD,Normal,297000,3423,44,3.0,-1.0,-1.8369701987210292e-16,1.3866684726113547,1.4649762877760055
479,480,30,RM,50.0,5925,Pave,,Reg,Bnk,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,7,1937,2000,Hip,CompShg,Stucco,Stucco,BrkCmn,435.0,TA,TA,BrkTil,Fa,TA,No,Rec,168,Unf,0,739,GasA,TA,Y,SBrkr,1131,0,0,2,1,TA,7,Typ,0,,Detchd,1995.0,Unf,2,672,TA,TA,Y,0,0,,MnPrv,,0,2007,WD,Alloca,89471,2038,72,1.0,1.0,6.123233995736766e-17,-1.526837126882538,-1.1519392992725535
480,481,20,RL,98.0,16033,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2004,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,378.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1261,Unf,0,572,GasA,Ex,Y,SBrkr,1850,0,0,3,1,Gd,8,Typ,1,Gd,Attchd,2004.0,Fin,3,772,TA,TA,Y,519,0,,,,0,2006,WD,Normal,326000,3683,112,3.0,1.0,6.123233995736766e-17,2.115044872484828,1.830662779901965
481,482,20,RL,72.0,11846,Pave,,IR1,HLS,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,562.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1567,Unf,0,225,GasA,Ex,Y,SBrkr,1792,0,0,2,1,Ex,6,Typ,1,Gd,Attchd,2003.0,Fin,3,874,TA,TA,Y,206,0,,,,0,2006,WD,Normal,374000,3584,49,3.0,-0.8660254037844384,-0.5000000000000004,2.115044872484828,2.435936973765622
